X,Y,timestamp,moisture,speed,width,yield,yield (bu/ac)
440814.7634,5018681.069,2021-11-07T00:59:58,24.5,2.011363745,20.01000023,2637.357422,47.09566825
440815.0797,5018680.223,2021-11-07T00:59:59,24.60000038,2.011363745,20.01000023,3884.949951,69.37410627
440815.4099,5018679.348,2021-11-07T01:00:00,24.39999962,2.099999905,20.01000023,5058.772461,90.33522252
440815.7818,5018678.417,2021-11-07T01:00:01,23.89999962,2.236363649,20.01000023,5797.845215,103.5329503
440816.1677,5018677.472,2021-11-07T01:00:02,23.5,2.304545403,20.01000023,6355.581543,113.4925276
440816.5817,5018676.513,2021-11-07T01:00:03,23,2.345454454,20.01000023,6804.533691,121.5095302
440817.0515,5018675.497,2021-11-07T01:00:04,22.60000038,2.481818199,20.01000023,6957.085938,124.2336775
440817.6043,5018674.311,2021-11-07T01:00:05,22.5,2.931818247,20.01000023,6407.614746,114.4216919
440818.2408,5018673.027,2021-11-07T01:00:06,22.5,3.197727203,20.01000023,6300.494629,112.5088327
440818.9192,5018671.699,2021-11-07T01:00:07,22.29999924,3.354545355,20.01000023,6306.257324,112.6117379
440819.6396,5018670.344,2021-11-07T01:00:08,21.39999962,3.443181753,20.01000023,6575.958984,117.427839
440820.3738,5018668.96,2021-11-07T01:00:09,20.89999962,3.511363745,20.01000023,6884.978516,122.9460449
440821.1222,5018667.576,2021-11-07T01:00:10,20.79999924,3.511363745,20.01000023,7012.539063,125.2239118
440821.8705,5018666.192,2021-11-07T01:00:11,20.89999962,3.511363745,20.01000023,6489.290039,115.8801793
440822.633,5018664.807,2021-11-07T01:00:12,21,3.559090853,20.01000023,5653.38623,100.9533255
440834.7616,5018644.164,2021-11-07T01:00:31,20.70000076,4.745454311,20.01000023,6663.0625,118.9832589
440835.8435,5018642.271,2021-11-07T01:00:32,20.89999962,4.875,20.01000023,6555.145508,117.0561698
440836.9249,5018640.322,2021-11-07T01:00:33,21,4.9909091,20.01000023,6478.224609,115.6825823
440838.0344,5018638.359,2021-11-07T01:00:34,21.10000038,5.052272797,20.01000023,6501.165527,116.0922416
440839.1436,5018636.367,2021-11-07T01:00:35,21.39999962,5.099999905,20.01000023,6551.192871,116.985587
440840.295,5018634.361,2021-11-07T01:00:36,21.5,5.168181896,20.01000023,6669.97998,119.1067854
440841.4323,5018632.355,2021-11-07T01:00:37,21.60000038,5.168181896,20.01000023,6954.588379,124.1890782
440842.5695,5018630.335,2021-11-07T01:00:38,21.5,5.188636303,20.01000023,7254.904785,129.5518712
440843.7066,5018628.315,2021-11-07T01:00:39,21.29999924,5.20909071,20.01000023,7536.744629,134.5847255
440844.8716,5018626.252,2021-11-07T01:00:40,21.10000038,5.304545403,20.01000023,7628.942383,136.231114
440846.0223,5018624.176,2021-11-07T01:00:41,20.89999962,5.324999809,20.01000023,7697.178223,137.4496111
440847.1871,5018622.099,2021-11-07T01:00:42,20.70000076,5.324999809,20.01000023,7716.640137,137.7971453
440848.3518,5018620.009,2021-11-07T01:00:43,20.60000038,5.345454693,20.01000023,7566.351563,135.1134208
440849.5306,5018617.918,2021-11-07T01:00:44,20.5,5.3659091,20.01000023,7312.784668,130.5854405
440850.7094,5018615.827,2021-11-07T01:00:45,20.29999924,5.393181801,20.01000023,7034.531738,125.6166382
440851.8741,5018613.737,2021-11-07T01:00:46,20.29999924,5.3659091,20.01000023,6861.568848,122.5280151
440853.0529,5018611.646,2021-11-07T01:00:47,20.29999924,5.3659091,20.01000023,6678.941406,119.2668108
440854.2175,5018609.542,2021-11-07T01:00:48,20.20000076,5.393181801,20.01000023,6393.602051,114.1714652
440855.3959,5018607.409,2021-11-07T01:00:49,20.10000038,5.461363792,20.01000023,5936.224609,106.0040109
440856.5881,5018605.248,2021-11-07T01:00:50,19.89999962,5.550000191,20.01000023,5475.779297,97.78177316
440857.8081,5018603.044,2021-11-07T01:00:51,19.60000038,5.638636589,20.01000023,5259.614258,93.92168318
440859.0282,5018600.841,2021-11-07T01:00:52,19.29999924,5.638636589,20.01000023,5329.518555,95.1699742
440860.2342,5018598.651,2021-11-07T01:00:53,19,5.611363411,20.01000023,5628.883301,100.5157732
440861.4544,5018596.462,2021-11-07T01:00:54,19,5.590909004,20.01000023,5980.301758,106.7911028
