X,Y,yield
440697.173,5018865.159,154.8479
440699.673,5018865.159,148.26448
440697.173,5018862.659,166.39467
440699.673,5018862.659,159.28751
440702.173,5018862.659,154.35909
440704.673,5018862.659,149.97664
440694.673,5018860.159,180.47426
440697.173,5018860.159,176.34442
440699.673,5018860.159,171.46719
440702.173,5018860.159,169.06277
440704.673,5018860.159,167.79425
440707.173,5018860.159,168.92221
440694.673,5018857.659,187.77615
440697.173,5018857.659,183.94487
440699.673,5018857.659,182.06821
440702.173,5018857.659,182.84602
440704.673,5018857.659,185.43535
440707.173,5018857.659,187.37766
440709.673,5018857.659,188.66164
440694.673,5018855.159,190.18794
440697.173,5018855.159,189.50668
440699.673,5018855.159,189.97607
440702.173,5018855.159,193.54469
440704.673,5018855.159,196.7542
440707.173,5018855.159,198.80579
440709.673,5018855.159,198.29135
440712.173,5018855.159,196.21539
440692.173,5018852.659,191.78258
440694.673,5018852.659,193.55074
440697.173,5018852.659,193.72498
440699.673,5018852.659,195.33447
440702.173,5018852.659,199.77643
440704.673,5018852.659,203.60899
440707.173,5018852.659,205.64455
440709.673,5018852.659,205.2603
440712.173,5018852.659,203.16486
440714.673,5018852.659,200.82379
440717.173,5018852.659,199.85834
440692.173,5018850.159,194.07187
440694.673,5018850.159,196.31432
440697.173,5018850.159,197.22952
440699.673,5018850.159,198.72916
440702.173,5018850.159,202.69759
440704.673,5018850.159,206.0255
440707.173,5018850.159,210.36928
440709.673,5018850.159,209.80093
440712.173,5018850.159,207.47092
440714.673,5018850.159,205.56239
440717.173,5018850.159,202.69586
440719.673,5018850.159,200.90613
440692.173,5018847.659,193.63535
440694.673,5018847.659,196.99109
440697.173,5018847.659,199.42012
440699.673,5018847.659,200.88988
440702.173,5018847.659,203.95811
440704.673,5018847.659,207.43196
440707.173,5018847.659,209.49869
440709.673,5018847.659,212.3972
440712.173,5018847.659,212.47772
440714.673,5018847.659,209.68924
440717.173,5018847.659,206.51292
440719.673,5018847.659,203.55391
440722.173,5018847.659,201.62314
440689.673,5018845.159,187.83025
440692.173,5018845.159,193.09233
440694.673,5018845.159,197.54855
440697.173,5018845.159,200.63408
440699.673,5018845.159,202.79565
440702.173,5018845.159,205.55185
440704.673,5018845.159,208.14076
440707.173,5018845.159,210.09477
440709.673,5018845.159,211.93683
440712.173,5018845.159,212.74344
440714.673,5018845.159,210.8499
440717.173,5018845.159,208.43797
440719.673,5018845.159,205.38527
440722.173,5018845.159,202.73715
440689.673,5018842.659,188.84857
440692.173,5018842.659,193.86769
440694.673,5018842.659,198.28015
440697.173,5018842.659,201.88551
440699.673,5018842.659,205.10408
440702.173,5018842.659,207.16006
440704.673,5018842.659,207.64586
440707.173,5018842.659,209.71739
440709.673,5018842.659,211.03967
440712.173,5018842.659,211.06976
440714.673,5018842.659,210.08472
440717.173,5018842.659,208.43573
440719.673,5018842.659,205.1496
440722.173,5018842.659,201.94688
440724.673,5018842.659,198.96432
440689.673,5018840.159,189.7672
440692.173,5018840.159,194.56987
440694.673,5018840.159,198.92926
440697.173,5018840.159,203.88414
440699.673,5018840.159,207.29829
440702.173,5018840.159,209.11955
440704.673,5018840.159,208.65131
440707.173,5018840.159,208.87215
440709.673,5018840.159,209.77771
440712.173,5018840.159,209.20287
440714.673,5018840.159,208.42876
440717.173,5018840.159,206.71307
440719.673,5018840.159,203.20241
440722.173,5018840.159,199.22296
440724.673,5018840.159,195.30669
440727.173,5018840.159,191.11469
440687.173,5018837.659,185.28008
440689.673,5018837.659,189.5826
440692.173,5018837.659,195.72968
440694.673,5018837.659,199.91168
440697.173,5018837.659,204.98126
440699.673,5018837.659,209.48502
440702.173,5018837.659,211.57196
440704.673,5018837.659,210.60588
440707.173,5018837.659,209.13828
440709.673,5018837.659,207.84174
440712.173,5018837.659,206.13962
440714.673,5018837.659,206.81674
440717.173,5018837.659,204.86473
440719.673,5018837.659,201.31482
440722.173,5018837.659,196.68604
440724.673,5018837.659,191.66162
440727.173,5018837.659,186.21629
440729.673,5018837.659,180.53871
440687.173,5018835.159,187.41631
440689.673,5018835.159,191.78149
440692.173,5018835.159,193.93907
440694.673,5018835.159,198.46146
440697.173,5018835.159,203.71454
440699.673,5018835.159,209.66888
440702.173,5018835.159,213.26936
440704.673,5018835.159,213.30453
440707.173,5018835.159,210.8405
440709.673,5018835.159,208.43832
440712.173,5018835.159,205.2717
440714.673,5018835.159,204.85774
440717.173,5018835.159,204.48987
440719.673,5018835.159,201.52037
440722.173,5018835.159,196.1183
440724.673,5018835.159,189.55357
440727.173,5018835.159,182.27028
440729.673,5018835.159,175.31868
440687.173,5018832.659,186.65456
440689.673,5018832.659,187.16084
440692.173,5018832.659,188.70482
440694.673,5018832.659,193.09851
440697.173,5018832.659,199.15379
440699.673,5018832.659,206.71867
440702.173,5018832.659,212.39311
440704.673,5018832.659,214.2124
440707.173,5018832.659,212.72148
440709.673,5018832.659,209.69055
440712.173,5018832.659,207.30972
440714.673,5018832.659,206.67299
440717.173,5018832.659,206.53278
440719.673,5018832.659,204.03047
440722.173,5018832.659,198.25656
440724.673,5018832.659,189.9724
440727.173,5018832.659,180.05663
440729.673,5018832.659,170.92665
440732.173,5018832.659,164.98541
440684.673,5018830.159,182.68222
440687.173,5018830.159,181.67276
440689.673,5018830.159,180.85178
440692.173,5018830.159,181.83582
440694.673,5018830.159,185.61665
440697.173,5018830.159,192.48283
440699.673,5018830.159,200.16669
440702.173,5018830.159,206.98145
440704.673,5018830.159,210.56516
440707.173,5018830.159,211.22031
440709.673,5018830.159,210.25909
440712.173,5018830.159,209.20695
440714.673,5018830.159,209.41118
440717.173,5018830.159,210.18616
440719.673,5018830.159,208.59622
440722.173,5018830.159,202.82803
440724.673,5018830.159,193.01558
440727.173,5018830.159,180.50105
440729.673,5018830.159,168.62158
440732.173,5018830.159,160.36124
440734.673,5018830.159,156.47726
440684.673,5018827.659,178.29976
440687.173,5018827.659,176.43327
440689.673,5018827.659,174.9359
440692.173,5018827.659,175.90379
440694.673,5018827.659,179.32219
440697.173,5018827.659,185.0074
440699.673,5018827.659,191.77049
440702.173,5018827.659,197.92319
440704.673,5018827.659,202.57611
440707.173,5018827.659,205.68756
440709.673,5018827.659,207.75189
440712.173,5018827.659,209.24675
440714.673,5018827.659,211.30252
440717.173,5018827.659,213.58768
440719.673,5018827.659,213.60907
440722.173,5018827.659,208.88589
440724.673,5018827.659,198.43524
440727.173,5018827.659,184.11313
440729.673,5018827.659,169.58598
440732.173,5018827.659,158.19214
440734.673,5018827.659,151.7677
440737.173,5018827.659,151.47363
440684.673,5018825.159,172.83495
440687.173,5018825.159,171.65659
440689.673,5018825.159,170.57158
440692.173,5018825.159,171.42471
440694.673,5018825.159,173.86632
440697.173,5018825.159,177.51022
440699.673,5018825.159,182.02568
440702.173,5018825.159,186.8696
440704.673,5018825.159,192.03098
440707.173,5018825.159,197.27452
440709.673,5018825.159,202.29761
440712.173,5018825.159,206.70921
440714.673,5018825.159,211.00909
440717.173,5018825.159,215.09756
440719.673,5018825.159,216.9277
440722.173,5018825.159,213.97098
440724.673,5018825.159,204.25262
440727.173,5018825.159,189.83429
440729.673,5018825.159,174.18106
440732.173,5018825.159,160.38055
440734.673,5018825.159,151.1618
440737.173,5018825.159,148.51942
440682.173,5018822.659,170.50578
440684.673,5018822.659,167.80627
440687.173,5018822.659,167.56935
440689.673,5018822.659,167.5994
440692.173,5018822.659,168.01088
440694.673,5018822.659,168.8541
440697.173,5018822.659,169.76212
440699.673,5018822.659,171.49937
440702.173,5018822.659,174.93367
440704.673,5018822.659,180.42587
440707.173,5018822.659,187.50117
440709.673,5018822.659,194.86475
440712.173,5018822.659,201.66203
440714.673,5018822.659,208.0175
440717.173,5018822.659,213.61456
440719.673,5018822.659,217.20427
440722.173,5018822.659,216.19807
440724.673,5018822.659,208.54967
